Index,Verbe
1,être
2,partir
3,avoir
4,mourir
5,faire
6,lire
7,dire
8,ouvrir
9,pouvoir
10,arrêter
11,aller
12,rire
13,voir
14,servir
15,savoir
16,jeter
17,vouloir
18,recevoir
19,venir
20,monter
21,falloir
22,lever
23,devoir
24,agir
25,croire
26,perdre
27,trouver
28,souvenir
29,donner
30,écouter
31,prendre
32,continuer
33,parler
34,sourire
35,aimer
36,apercevoir
37,passer
38,tirer
39,mettre
40,reconnaître
41,demander
42,ajouter
43,tenir
44,jouer
45,sembler
46,marcher
47,laisser
48,garder
49,rester
50,manquer
51,penser
52,retrouver
53,entendre
54,descendre
55,regarder
56,rappeler
57,répondre
58,quitter
59,rendre
60,tourner
61,connaître
62,finir
63,paraître
64,crier
65,arriver
66,courir
67,sentir
68,permettre
69,attendre
70,dîner
71,/
72,diner
73,vivre
74,songer
75,chercher
76,offrir
77,sortir
78,présenter
79,comprendre
80,apprendre
81,porter
82,exister
83,entrer
84,souffrir
85,devenir
86,envoyer
87,revenir
88,expliquer
89,écrire
90,manger
91,appeler
92,valoir
93,tomber
94,oublier
95,reprendre
96,rentrer
97,commencer
98,pousser
99,suivre
100,occuper
101,montrer
102,compte
